Date;Value
19/07/2016;674,1899
18/07/2016;673,9901
17/07/2016;680,6801
16/07/2016;661,7701
15/07/2016;667,7401
14/07/2016;660,5701
13/07/2016;661,0201
12/07/2016;668,5801
11/07/2016;647,6901
10/07/2016;647,7601
09/07/2016;640,0101
08/07/2016;658,6101
07/07/2016;619,0901
06/07/2016;675,2601
05/07/2016;669,5801
04/07/2016;674,7601
03/07/2016;660,0001
02/07/2016;695,2101
01/07/2016;675,5501
30/06/2016;660,6201
29/06/2016;633,8101
28/06/2016;647,0001
27/06/2016;643,9201
26/06/2016;629,97
25/06/2016;653,0201
24/06/2016;652,1301
23/06/2016;612,0401
22/06/2016;610,9001
21/06/2016;647,0001
20/06/2016;738,4901
19/06/2016;759,4801
18/06/2016;747,3201
17/06/2016;750,9901
16/06/2016;761,1001
15/06/2016;693,0501
14/06/2016;688,8901
13/06/2016;689,1201
12/06/2016;666,0201
11/06/2016;583,9501
10/06/2016;577,7801
09/06/2016;574,0201
08/06/2016;579,5501
07/06/2016;577,6801
06/06/2016;581,1401
05/06/2016;573,7801
04/06/2016;572,5901
03/06/2016;576,8201
02/06/2016;535,0601
01/06/2016;534,9001
31/05/2016;524,3801
30/05/2016;527,54
29/05/2016;526,67
28/05/2016;509,9001
27/05/2016;470,0001
26/05/2016;452,2201
25/05/2016;448,37
24/05/2016;443,58
23/05/2016;442,3
22/05/2016;439,6601
21/05/2016;443,4101
20/05/2016;440,9
19/05/2016;443,18
18/05/2016;453,5601
17/05/2016;453,43
16/05/2016;453,5901
15/05/2016;457,0001
14/05/2016;456,8501
13/05/2016;455,5601
12/05/2016;452,9701
11/05/2016;452,4201
10/05/2016;455,4501
09/05/2016;462,0001
08/05/2016;457,58
07/05/2016;459,3
06/05/2016;462,0001
05/05/2016;448,6301
04/05/2016;447,2601
03/05/2016;451,15
02/05/2016;445,96
01/05/2016;452,9701
30/04/2016;450,0101
29/04/2016;455,2001
28/04/2016;449,9101
27/04/2016;453,1301
26/04/2016;468,7601
25/04/2016;466,9801
24/04/2016;462,0001
23/04/2016;447,4401
22/04/2016;448,0001
21/04/2016;451,0001
20/04/2016;443,27
19/04/2016;432,2801
18/04/2016;427,58
17/04/2016;427,2301
16/04/2016;430,55
15/04/2016;429,4801
14/04/2016;424,99
13/04/2016;424,6601
12/04/2016;424,9101
11/04/2016;422,28
10/04/2016;421,4101
09/04/2016;418
08/04/2016;418,4
07/04/2016;421,18
06/04/2016;421,5101
05/04/2016;421,12
04/04/2016;418,31
03/04/2016;417,46
02/04/2016;418,2201
01/04/2016;415,3901
31/03/2016;415,7901
30/03/2016;413,5701
29/03/2016;414,9801
28/03/2016;422,0401
27/03/2016;423,6601
26/03/2016;415,87
25/03/2016;416,33
24/03/2016;416,56
23/03/2016;417,8201
22/03/2016;416,5101
21/03/2016;411,02
20/03/2016;410,1701
19/03/2016;405,4401
18/03/2016;404,97
17/03/2016;418
16/03/2016;416
15/03/2016;415,0101
14/03/2016;414
13/03/2016;412,25
12/03/2016;409,6001
11/03/2016;418,61
10/03/2016;416,1701
09/03/2016;411,53
08/03/2016;411,9801
07/03/2016;412,87
06/03/2016;408,25
05/03/2016;402,96
04/03/2016;411,78
03/03/2016;420,1701
02/03/2016;428,4201
01/03/2016;431,0001
29/02/2016;433,4401
28/02/2016;432,2501
27/02/2016;431,5001
26/02/2016;424,31
25/02/2016;422,59
24/02/2016;422,9201
23/02/2016;420,4801
22/02/2016;438,4501
21/02/2016;438,65
20/02/2016;437,6001
19/02/2016;418,6001
18/02/2016;420,0001
17/02/2016;418,09
16/02/2016;405,6001
15/02/2016;395
14/02/2016;399,8201
13/02/2016;390,02
12/02/2016;382,49
11/02/2016;375,3
10/02/2016;380,4801
09/02/2016;373,38
08/02/2016;372,02
07/02/2016;373,6001
06/02/2016;374,9
05/02/2016;385,15
04/02/2016;386,61
03/02/2016;368,55
02/02/2016;373,4
01/02/2016;370
31/01/2016;376,47
30/01/2016;376,97
29/01/2016;374,7901
28/01/2016;382
27/01/2016;395,21
26/01/2016;393,1401
25/01/2016;390,69
24/01/2016;402,46
23/01/2016;389,9201
22/01/2016;377,94
21/01/2016;407,36
20/01/2016;407,75
19/01/2016;380,47
18/01/2016;384,03
17/01/2016;387,1301
16/01/2016;379,5401
15/01/2016;387,1301
14/01/2016;431,2001
13/01/2016;428,2501
12/01/2016;446,93
11/01/2016;448,5601
10/01/2016;446,4
09/01/2016;451,27
08/01/2016;451,3401
07/01/2016;455,2801
06/01/2016;430,46
05/01/2016;432,3
04/01/2016;435,43
03/01/2016;428,1701
02/01/2016;433,77
01/01/2016;433,7301
31/12/2015;432,58
30/12/2015;427,2301
29/12/2015;427,65
28/12/2015;419,56
27/12/2015;422,21
26/12/2015;416,8801
25/12/2015;456,0001
24/12/2015;453,5001
23/12/2015;444,4801
22/12/2015;437,11
21/12/2015;434,52
20/12/2015;440,1901
19/12/2015;460,3
18/12/2015;460,7301
17/12/2015;454,9801
16/12/2015;457,1401
15/12/2015;462,1701
14/12/2015;439,0101
13/12/2015;437,68
12/12/2015;426,0401
11/12/2015;449,3201
10/12/2015;417,15
09/12/2015;416,09
08/12/2015;395,99
07/12/2015;393,2001
06/12/2015;394,65
05/12/2015;377,68
04/12/2015;362,43
03/12/2015;361,27
02/12/2015;361,58
01/12/2015;360,93
30/11/2015;376,72
29/11/2015;366,9801
28/11/2015;355,7001
27/11/2015;359,61
26/11/2015;350,03
25/11/2015;328,05
24/11/2015;319,85
23/11/2015;324,57
22/11/2015;324,36
21/11/2015;324,4501
20/11/2015;320,69
19/11/2015;328,01
18/11/2015;337,16
17/11/2015;335,36
16/11/2015;331,3
15/11/2015;319
14/11/2015;331,77
13/11/2015;331,78
12/11/2015;327,13
11/11/2015;308
10/11/2015;331,96
09/11/2015;379,43
08/11/2015;371,8901
07/11/2015;383,84
06/11/2015;372,0401
05/11/2015;409,31
04/11/2015;418,7601
03/11/2015;396,96
