Date;Value
19/07/2016;676,0701
18/07/2016;672,2901
17/07/2016;680,2801
16/07/2016;666,4901
15/07/2016;669,8701
14/07/2016;661,2801
13/07/2016;660,5501
12/07/2016;668,7301
11/07/2016;650,1101
10/07/2016;651,8101
09/07/2016;645,4501
08/07/2016;661,5701
07/07/2016;623,2901
06/07/2016;675,3101
05/07/2016;671,5201
04/07/2016;678,4601
03/07/2016;666,0401
02/07/2016;697,5401
01/07/2016;678,2401
30/06/2016;665,7501
29/06/2016;638,22
28/06/2016;648,2901
27/06/2016;647,8601
26/06/2016;644,3001
25/06/2016;665,4301
24/06/2016;661,4601
23/06/2016;619,2701
22/06/2016;611,1101
21/06/2016;654,4601
20/06/2016;740,6901
19/06/2016;766,0101
18/06/2016;755,2301
17/06/2016;758,8601
16/06/2016;766,1201
15/06/2016;694,2301
14/06/2016;688,9801
13/06/2016;690,0001
12/06/2016;670,8301
11/06/2016;587,1501
10/06/2016;580,8701
09/06/2016;577,0001
08/06/2016;580,5501
07/06/2016;577,5801
06/06/2016;583,3701
05/06/2016;577,04
04/06/2016;579,48
03/06/2016;576,8801
02/06/2016;536,23
01/06/2016;534,6201
31/05/2016;520,91
30/05/2016;533,1501
29/05/2016;533,5001
28/05/2016;519,9401
27/05/2016;469,5401
26/05/2016;454,2201
25/05/2016;451,0001
24/05/2016;446,5401
23/05/2016;444,52
22/05/2016;442,1901
21/05/2016;445,9401
20/05/2016;443,7901
19/05/2016;444,46
18/05/2016;456,0001
17/05/2016;454,6001
16/05/2016;454,21
15/05/2016;461,55
14/05/2016;459,3
13/05/2016;457,58
12/05/2016;453,2001
11/05/2016;454,1001
10/05/2016;455,8
09/05/2016;463,43
08/05/2016;461,27
07/05/2016;462,96
06/05/2016;461,6401
05/05/2016;449,9
04/05/2016;447,4701
03/05/2016;451,8
02/05/2016;446,4801
01/05/2016;455,6001
30/04/2016;455,18
29/04/2016;457,7801
28/04/2016;450,7901
27/04/2016;455,6001
26/04/2016;471,33
25/04/2016;468,5001
24/04/2016;464,9401
23/04/2016;450,96
22/04/2016;449,5601
21/04/2016;451,4801
20/04/2016;442,99
19/04/2016;432,9
18/04/2016;429,99
17/04/2016;431,5401
16/04/2016;433,3
15/04/2016;431,0001
14/04/2016;425,9201
13/04/2016;425,59
12/04/2016;426,9801
11/04/2016;423,3901
10/04/2016;423,56
09/04/2016;419,1301
08/04/2016;420,03
07/04/2016;421,9401
06/04/2016;421,62
05/04/2016;420,6901
04/04/2016;419,03
03/04/2016;419,4801
02/04/2016;419,87
01/04/2016;416,93
31/03/2016;416,8501
30/03/2016;412,8501
29/03/2016;414,9801
28/03/2016;421,86
27/03/2016;424,3901
26/03/2016;417,1601
25/03/2016;415,62
24/03/2016;416,36
23/03/2016;418,06
22/03/2016;417,03
21/03/2016;410,6401
20/03/2016;413,37
19/03/2016;406,2001
18/03/2016;406,53
17/03/2016;418,3801
16/03/2016;415,8501
15/03/2016;415,0401
14/03/2016;413,81
13/03/2016;413,4101
12/03/2016;410,05
11/03/2016;418,21
10/03/2016;416,1301
09/03/2016;411,28
08/03/2016;410,78
07/03/2016;411,61
06/03/2016;406,31
05/03/2016;400
04/03/2016;410,37
03/03/2016;418,81
02/03/2016;427,4401
01/03/2016;431,8901
29/02/2016;434,27
28/02/2016;433,93
