Date;Value
19/07/2016;673,6201
18/07/2016;673,1901
17/07/2016;672,3301
16/07/2016;663,0401
15/07/2016;666,9901
14/07/2016;660,4301
13/07/2016;663,0001
12/07/2016;667,9401
11/07/2016;651,2801
10/07/2016;649,1101
09/07/2016;641,4801
08/07/2016;660,6801
07/07/2016;620,9001
06/07/2016;674,7301
05/07/2016;670,2901
04/07/2016;676,2801
03/07/2016;660,5801
02/07/2016;696,9901
01/07/2016;677,7101
30/06/2016;664,8101
29/06/2016;639,5401
28/06/2016;647,7701
27/06/2016;643,0701
26/06/2016;634,0801
25/06/2016;656,0101
24/06/2016;657,8701
23/06/2016;612,8701
22/06/2016;613,5801
21/06/2016;651,0801
20/06/2016;741,0001
19/06/2016;760,0001
18/06/2016;750,8001
17/06/2016;752,9401
16/06/2016;763,2401
15/06/2016;693,3401
14/06/2016;690,5001
13/06/2016;691,2601
12/06/2016;664,8801
11/06/2016;585,29
10/06/2016;578,9601
09/06/2016;576,85
08/06/2016;579,9301
07/06/2016;577,79
06/06/2016;581,5201
05/06/2016;574,48
04/06/2016;575,4601
03/06/2016;575,5501
02/06/2016;537,4001
01/06/2016;535,4001
31/05/2016;522,0501
30/05/2016;530,0601
29/05/2016;527,5201
28/05/2016;513,5901
27/05/2016;472,3901
26/05/2016;452,8501
25/05/2016;448,6301
24/05/2016;445,1401
23/05/2016;442,7901
22/05/2016;438,61
21/05/2016;443,0001
20/05/2016;441,8901
19/05/2016;443,4501
18/05/2016;454,0001
17/05/2016;453,21
16/05/2016;452,62
15/05/2016;454,99
14/05/2016;447,0001
13/05/2016;454,11
12/05/2016;451,3501
11/05/2016;451,4801
10/05/2016;454,1301
09/05/2016;461,27
08/05/2016;458,6301
07/05/2016;459,7501
06/05/2016;463,0601
05/05/2016;448,0101
04/05/2016;447,6301
03/05/2016;451,2801
02/05/2016;446,12
01/05/2016;453,0601
30/04/2016;451,83
29/04/2016;455,8
28/04/2016;448,5401
27/04/2016;453,93
26/04/2016;468,7801
25/04/2016;465,6201
24/04/2016;455,0001
23/04/2016;447,84
22/04/2016;448,52
21/04/2016;451,0601
20/04/2016;441,9701
19/04/2016;431,0101
18/04/2016;427,9701
17/04/2016;426,81
16/04/2016;429,27
15/04/2016;429,0001
14/04/2016;424,4501
13/04/2016;424,1001
12/04/2016;424,8801
11/04/2016;422,8501
10/04/2016;421,5001
09/04/2016;418,06
08/04/2016;419,4801
07/04/2016;421,99
06/04/2016;421,58
05/04/2016;421,62
04/04/2016;418,75
03/04/2016;416,4
02/04/2016;419,2601
01/04/2016;416,3801
31/03/2016;416,62
30/03/2016;413,7201
29/03/2016;415,1001
28/03/2016;422,0701
27/03/2016;423,9
26/03/2016;416,56
25/03/2016;415,5401
24/03/2016;415,4501
23/03/2016;418,0701
22/03/2016;416,7901
21/03/2016;410,6401
20/03/2016;411,3901
19/03/2016;406,4101
18/03/2016;407,1401
17/03/2016;418,4401
16/03/2016;415,36
15/03/2016;415,1701
14/03/2016;413,62
13/03/2016;411,87
12/03/2016;410,06
11/03/2016;419,09
10/03/2016;415,3
09/03/2016;411,27
08/03/2016;411,43
07/03/2016;411,6901
06/03/2016;405,1401
05/03/2016;397
04/03/2016;412,4801
03/03/2016;417,37
02/03/2016;427,9501
01/03/2016;430,0101
29/02/2016;434,4201
28/02/2016;431,4701
27/02/2016;429,55
26/02/2016;423,0001
25/02/2016;422,3
24/02/2016;422,7501
23/02/2016;419,9701
22/02/2016;438,0001
21/02/2016;437,2901
20/02/2016;439,3901
19/02/2016;418,75
18/02/2016;419,68
17/02/2016;419,7901
16/02/2016;406,6301
15/02/2016;396,3801
14/02/2016;398,5
13/02/2016;389,0701
12/02/2016;381,9
11/02/2016;371,7601
10/02/2016;376,9201
09/02/2016;373,31
08/02/2016;371,3201
07/02/2016;372,49
06/02/2016;374,58
05/02/2016;385,56
04/02/2016;387,8901
03/02/2016;369,77
02/02/2016;373,05
01/02/2016;370,66
31/01/2016;377,06
30/01/2016;377,7301
29/01/2016;375,68
28/01/2016;383,49
27/01/2016;394,9201
26/01/2016;393
25/01/2016;392,21
24/01/2016;402,53
23/01/2016;390,65
22/01/2016;380,5
21/01/2016;405,7601
20/01/2016;408,6401
19/01/2016;381,25
18/01/2016;385,33
17/01/2016;383,99
16/01/2016;382,5
15/01/2016;388,6401
14/01/2016;432,2601
13/01/2016;428,2601
12/01/2016;447,0101
11/01/2016;448,15
10/01/2016;444,8201
09/01/2016;450,2801
08/01/2016;452,1701
07/01/2016;455,05
06/01/2016;430,11
05/01/2016;432,2001
04/01/2016;434,1701
03/01/2016;425,7001
02/01/2016;433,87
01/01/2016;433,21
31/12/2015;431,6901
30/12/2015;427,1001
29/12/2015;428,03
28/12/2015;418,9401
27/12/2015;421,5401
26/12/2015;422,03
25/12/2015;455,0301
24/12/2015;453,7301
23/12/2015;445,0301
22/12/2015;436,9
21/12/2015;434,9401
20/12/2015;439,7601
19/12/2015;459,0001
18/12/2015;464,4501
17/12/2015;454,12
16/12/2015;455,0301
15/12/2015;460,4701
14/12/2015;443,4201
13/12/2015;438,4701
12/12/2015;426,6601
11/12/2015;451,0901
10/12/2015;414,9701
09/12/2015;412,8
08/12/2015;396,8
07/12/2015;390,65
06/12/2015;395,58
05/12/2015;377,02
04/12/2015;362,24
03/12/2015;362,46
02/12/2015;360,49
01/12/2015;362,94
30/11/2015;376,71
29/11/2015;364,4201
28/11/2015;356,6401
27/11/2015;358,6401
26/11/2015;347,53
25/11/2015;329,55
24/11/2015;319,9201
23/11/2015;324,29
22/11/2015;323,15
21/11/2015;324,32
20/11/2015;321,26
19/11/2015;328,77
18/11/2015;334,65
17/11/2015;335,22
16/11/2015;327,94
15/11/2015;322,97
14/11/2015;333,54
13/11/2015;331,51
12/11/2015;325,37
11/11/2015;310,08
10/11/2015;350,62
09/11/2015;379,74
08/11/2015;381,5101
07/11/2015;384,12
06/11/2015;372,03
05/11/2015;406,11
04/11/2015;468,3
03/11/2015;400
02/11/2015;352,83
01/11/2015;326,58
31/10/2015;314,87
30/10/2015;321,87
29/10/2015;314
28/10/2015;302,17
27/10/2015;295,3
26/10/2015;286,14
25/10/2015;289,79
24/10/2015;279,8
23/10/2015;277,87
22/10/2015;275,28
21/10/2015;268,59
20/10/2015;270,32
19/10/2015;264,26
18/10/2015;263,75
17/10/2015;266,58
16/10/2015;260,82
15/10/2015;254,9
14/10/2015;254,05
13/10/2015;249,95
12/10/2015;246,48
11/10/2015;247,74
10/10/2015;245,54
09/10/2015;244,54
08/10/2015;243,95
07/10/2015;245,07
06/10/2015;246,33
05/10/2015;239,68
04/10/2015;238,72
03/10/2015;239,87
02/10/2015;237,67
01/10/2015;238,4
30/09/2015;237,14
29/09/2015;237,73
28/09/2015;238,48
27/09/2015;232,65
26/09/2015;234,64
25/09/2015;234,7
24/09/2015;235,44
23/09/2015;230,26
22/09/2015;230,36
21/09/2015;227,75
20/09/2015;230,92
19/09/2015;230,9
18/09/2015;233,45
17/09/2015;232,89
16/09/2015;228,01
15/09/2015;230,09
14/09/2015;231,86
13/09/2015;230,59
12/09/2015;235,88
11/09/2015;240,11
10/09/2015;239,5
09/09/2015;239,46
08/09/2015;244,03
07/09/2015;240,49
06/09/2015;241,22
05/09/2015;234,14
04/09/2015;230,97
03/09/2015;226,91
02/09/2015;229,13
01/09/2015;226,83
31/08/2015;230,47
30/08/2015;227,93
29/08/2015;227,88
28/08/2015;233,64
27/08/2015;226,54
26/08/2015;226,61
25/08/2015;224,43
24/08/2015;214,64
23/08/2015;228,55
22/08/2015;227,86
21/08/2015;233,08
20/08/2015;236,14
19/08/2015;225,96
18/08/2015;250,55
17/08/2015;258,33
16/08/2015;257,1
15/08/2015;263,78
14/08/2015;266,48
13/08/2015;265,28
12/08/2015;269,99
11/08/2015;266,69
10/08/2015;265,2
09/08/2015;263,22
08/08/2015;269,02
07/08/2015;279,68
06/08/2015;278,92
05/08/2015;282,58
04/08/2015;285,36
03/08/2015;283,86
02/08/2015;281,26
01/08/2015;280,25
31/07/2015;284,36
30/07/2015;287,65
29/07/2015;291,88
28/07/2015;296,5
27/07/2015;294,39
26/07/2015;291
25/07/2015;288,4
24/07/2015;287,51
23/07/2015;276,47
22/07/2015;276,56
21/07/2015;278,49
20/07/2015;276,47
19/07/2015;274,89
